# Neural Network with 1318551 learnable parameters

## Layer information

  #  name     size
---  -------  --------
  0  input    3x40x40
  1  conv1    32x38x38
  2  pool1    32x19x19
  3  conv2    64x18x18
  4  pool2    64x9x9
  5  conv3    128x8x8
  6  pool3    128x4x4
  7  hidden4  500
  8  hidden5  500
  9  output   3

  epoch    train loss    valid loss    train/val    valid acc  dur
-------  ------------  ------------  -----------  -----------  ------
      1       1.13111       0.92801      1.21885      0.57812  43.64s
      2       0.99607       0.94454      1.05455      0.57812  43.70s
      3       1.08976       0.88472      1.23176      0.57812  43.58s
      4       0.91968       0.95915      0.95885      0.57812  43.63s
      5       1.04712       0.89697      1.16740      0.50586  43.53s
      6       0.86827       1.01726      0.85354      0.51758  43.54s
      7       0.96406       0.96148      1.00268      0.52148  43.53s
      8       0.84724       1.10379      0.76758      0.49023  43.56s
      9       0.81891       1.10919      0.73829      0.51758  43.64s
     10       0.81402       1.21492      0.67002      0.49023  43.79s
     11       0.73755       1.30760      0.56404      0.48633  43.67s
     12       0.72428       1.32479      0.54672      0.49219  43.74s
     13       0.71055       1.40391      0.50612      0.49414  43.69s
     14       0.67869       1.44064      0.47110      0.49219  43.66s
     15       0.68018       1.43947      0.47252      0.49023  43.69s
     16       0.67001       1.50441      0.44536      0.49023  43.69s
     17       0.65286       1.51465      0.43103      0.49023  43.67s
     18       0.65268       1.54544      0.42233      0.49023  43.62s
     19       0.63788       1.58930      0.40136      0.49414  43.60s
     20       0.63257       1.59371      0.39692      0.49414  43.64s
     21       0.62849       1.62194      0.38749      0.49219  43.67s
     22       0.62256       1.61357      0.38583      0.49609  43.71s
     23       0.61625       1.62443      0.37936      0.49609  43.65s
     24       0.61260       1.65439      0.37029      0.50195  43.71s
     25       0.60106       1.66315      0.36140      0.50586  43.69s
     26       0.61263       1.71159      0.35793      0.50977  43.75s
     27       0.58471       1.70967      0.34200      0.50586  43.68s
     28       0.59237       1.77800      0.33317      0.50391  43.66s
     29       0.59583       1.78046      0.33465      0.50391  43.73s
     30       0.56839       1.80849      0.31429      0.50977  43.64s
     31       0.57365       1.88844      0.30377      0.50586  43.71s
     32       0.57655       1.93786      0.29752      0.50195  43.63s
     33       0.56128       1.90764      0.29423      0.50195  43.74s
     34       0.54438       2.03450      0.26758      0.50781  43.64s
     35       0.56416       1.97557      0.28557      0.50195  43.77s
     36       0.54900       2.02217      0.27149      0.50195  43.67s
     37       0.55099       2.03674      0.27053      0.49805  43.68s
     38       0.53574       2.08637      0.25678      0.49609  43.70s
     39       0.53340       2.14464      0.24871      0.50000  43.72s
     40       0.53155       2.19435      0.24224      0.49414  43.70s
     41       0.52944       2.20504      0.24010      0.49609  43.81s
     42       0.52686       2.22426      0.23687      0.49414  43.68s
     43       0.52175       2.29972      0.22688      0.49609  43.70s
     44       0.51909       2.29155      0.22653      0.49219  43.73s
     45       0.51377       2.35863      0.21783      0.49414  43.70s
     46       0.50924       2.43027      0.20954      0.49219  43.78s
     47       0.49753       2.41141      0.20632      0.48828  43.81s
     48       0.49787       2.45016      0.20320      0.49219  43.76s
     49       0.48626       2.41211      0.20159      0.49219  43.67s
     50       0.49394       2.42901      0.20335      0.49219  43.74s
     51       0.48236       2.43277      0.19828      0.49219  43.68s
     52       0.49037       2.38567      0.20555      0.48828  43.75s
     53       0.47655       2.66722      0.17867      0.49219  43.78s
     54       0.48605       2.64921      0.18347      0.49219  43.85s
     55       0.47163       2.73452      0.17247      0.49219  43.77s
     56       0.48047       2.82424      0.17012      0.48633  43.74s
     57       0.46873       2.92818      0.16007      0.48633  43.77s
     58       0.46746       2.87334      0.16269      0.47389  43.76s
     59       0.44591       2.87432      0.15514      0.48633  43.87s
     60       0.44564       2.69745      0.16521      0.48633  43.79s
     61       0.43032       2.76439      0.15567      0.48242  43.78s
     62       0.44203       2.76469      0.15988      0.49414  43.69s
     63       0.43061       2.91761      0.14759      0.49609  43.73s
     64       0.43731       2.69581      0.16222      0.46073  43.78s
     65       0.41211       3.03471      0.13580      0.49219  43.73s
     66       0.42723       3.04349      0.14038      0.48366  43.76s
     67       0.40049       3.33657      0.12003      0.47389  43.75s
     68       0.42494       3.19851      0.13286      0.45292  43.74s
     69       0.39825       3.76769      0.10570      0.44439  43.76s
     70       0.41420       3.49884      0.11838      0.47708  43.76s
     71       0.39071       3.67480      0.10632      0.44243  43.93s
     72       0.40196       3.95632      0.10160      0.44511  43.85s
     73       0.38487       3.90507      0.09856      0.43853  43.82s
     74       0.39863       3.97766      0.10022      0.43853  43.81s
     75       0.37806       4.03519      0.09369      0.41612  43.81s
     76       0.35674       3.71044      0.09614      0.42393  43.75s
     77       0.34709       3.93218      0.08827      0.42002  43.81s
     78       0.34331       3.80042      0.09033      0.43174  43.70s
     79       0.34418       3.94475      0.08725      0.42002  43.81s
     80       0.31046       4.18734      0.07414      0.42588  43.71s
     81       0.32230       4.09881      0.07863      0.41221  43.87s
     82       0.29431       4.36267      0.06746      0.42198  43.72s
