# Neural Network with 1318551 learnable parameters

## Layer information

  #  name     size
---  -------  --------
  0  input    3x40x40
  1  conv1    32x38x38
  2  pool1    32x19x19
  3  conv2    64x18x18
  4  pool2    64x9x9
  5  conv3    128x8x8
  6  pool3    128x4x4
  7  hidden4  500
  8  hidden5  500
  9  output   3

  epoch    train loss    valid loss    train/val    valid acc  dur
-------  ------------  ------------  -----------  -----------  ------
      1       1.13991       0.91195      1.24997      0.57812  49.55s
      2       1.00847       0.97620      1.03306      0.57812  41.43s
      3       1.09727       0.89075      1.23184      0.57812  42.12s
      4       0.91535       0.97002      0.94364      0.54883  40.64s
      5       1.02971       0.91356      1.12714      0.52539  40.62s
      6       0.83966       1.06506      0.78837      0.52344  40.71s
      7       0.91760       1.02727      0.89325      0.52539  40.67s
      8       0.81457       1.19838      0.67972      0.49219  40.67s
      9       0.77933       1.24158      0.62769      0.48633  40.66s
     10       0.74071       1.32965      0.55707      0.48828  40.55s
     11       0.71287       1.40797      0.50631      0.49609  40.52s
     12       0.70059       1.44436      0.48505      0.48633  40.59s
     13       0.67028       1.46557      0.45735      0.49414  40.68s
     14       0.67171       1.52770      0.43968      0.49219  40.61s
     15       0.64726       1.56711      0.41303      0.49219  40.58s
     16       0.63753       1.57479      0.40483      0.49414  40.60s
     17       0.63742       1.64494      0.38751      0.48828  40.67s
     18       0.61363       1.62438      0.37776      0.49219  40.61s
     19       0.62058       1.72017      0.36077      0.49023  46.12s
     20       0.60112       1.68525      0.35670      0.49219  41.01s
     21       0.59983       1.76150      0.34052      0.49609  41.15s
     22       0.59165       1.76989      0.33429      0.50000  41.00s
     23       0.57852       1.81081      0.31948      0.50195  41.14s
     24       0.57708       1.86256      0.30983      0.50586  41.11s
     25       0.56769       1.91403      0.29659      0.50195  41.11s
     26       0.55838       1.96134      0.28470      0.50586  41.07s
     27       0.55226       2.01021      0.27473      0.50391  41.07s
     28       0.54990       2.05434      0.26768      0.49805  41.07s
     29       0.53894       2.08410      0.25860      0.49805  41.12s
     30       0.53207       2.15706      0.24666      0.50000  41.19s
     31       0.52432       2.16419      0.24227      0.49805  41.00s
     32       0.52241       2.23246      0.23401      0.49219  41.13s
     33       0.51288       2.28199      0.22475      0.49219  42.64s
     34       0.51102       2.35283      0.21719      0.49023  51.74s
     35       0.49712       2.41073      0.20621      0.49609  40.60s
     36       0.49421       2.50124      0.19759      0.49414  40.76s
     37       0.47958       2.48315      0.19313      0.49414  40.80s
     38       0.47992       2.57361      0.18648      0.48828  40.84s
     39       0.46788       2.52869      0.18503      0.49023  48.33s
     40       0.46709       2.68637      0.17387      0.49023  40.74s
     41       0.45195       2.72880      0.16562      0.49414  40.74s
     42       0.45483       2.85362      0.15939      0.48633  40.79s
     43       0.44041       2.86534      0.15370      0.48828  47.05s
