# Neural Network with 1318551 learnable parameters

## Layer information

  #  name     size
---  -------  --------
  0  input    3x40x40
  1  conv1    32x38x38
  2  pool1    32x19x19
  3  conv2    64x18x18
  4  pool2    64x9x9
  5  conv3    128x8x8
  6  pool3    128x4x4
  7  hidden4  500
  8  hidden5  500
  9  output   3
  epoch    train loss    valid loss    train/val    valid acc  dur
-------  ------------  ------------  -----------  -----------  ------
      1       0.96705       0.88695      1.09031      0.60300  43.93s
      2       0.90367       0.86736      1.04186      0.62325  41.77s
      3       0.87590       0.84887      1.03185      0.63620  42.46s
      4       0.84681       0.83708      1.01162      0.62963  41.83s
      5       0.82014       0.83225      0.98545      0.63425  41.48s
      6       0.79662       0.82481      0.96581      0.64741  41.31s
      7       0.77410       0.82341      0.94011      0.62788  41.59s
      8       0.75293       0.81232      0.92689      0.64227  41.34s
      9       0.73198       0.80434      0.91004      0.63960  43.26s
     10       0.71139       0.78727      0.90361      0.66303  43.93s
     11       0.69189       0.77594      0.89168      0.68452  45.92s
     12       0.67384       0.73732      0.91391      0.71988  45.05s
     13       0.65294       0.72098      0.90562      0.72769  46.03s
     14       0.63833       0.70571      0.90453      0.70868  48.40s
     15       0.61910       0.69246      0.89406      0.71597  47.24s **************************
     16       0.59992       0.69264      0.86613      0.71330  44.31s
     17       0.58258       0.69601      0.83704      0.71402  43.57s
     18       0.56336       0.70384      0.80042      0.71793  46.06s
     19       0.57628       0.72722      0.79245      0.70230  45.01s
     20       0.59214       0.72364      0.81828      0.69963  42.45s
     21       0.53696       0.70676      0.75975      0.71988  41.99s
     22       0.51184       0.73008      0.70108      0.71207  42.35s
     23       0.47037       0.73119      0.64329      0.71597  43.06s
     24       0.43952       0.74229      0.59212      0.71988  41.46s
     25       0.49320       0.77650      0.63516      0.67835  45.50s
     26       0.44409       0.74535      0.59582      0.71669  45.37s
     27       0.39172       0.81574      0.48020      0.70158  41.38s
     28       0.37103       0.80506      0.46087      0.70888  41.58s
     29       0.35254       0.83125      0.42411      0.68205  44.06s
     30       0.31843       0.86194      0.36943      0.71474  44.49s
     31       0.55409       0.79204      0.69958      0.69182  43.65s
     32       0.41697       0.78261      0.53279      0.71865  44.43s
     33       0.33503       0.86522      0.38722      0.72327  41.24s **************************
     34       0.27680       0.93090      0.29734      0.71155  43.92s
     35       0.24058       1.01772      0.23639      0.70107  46.89s
     36       0.22011       1.03037      0.21362      0.68400  44.97s
