# Neural Network with 1318551 learnable parameters

## Layer information

  #  name     size
---  -------  --------
  0  input    3x40x40
  1  conv1    32x38x38
  2  pool1    32x19x19
  3  conv2    64x18x18
  4  pool2    64x9x9
  5  conv3    128x8x8
  6  pool3    128x4x4
  7  hidden4  500
  8  hidden5  500
  9  output   3

  epoch    train loss    valid loss    train/val    valid acc  dur
-------  ------------  ------------  -----------  -----------  ------
      1       0.98961       0.89134      1.11025      0.59786  43.80s
      2       0.91890       0.87481      1.05040      0.62911  43.69s
      3       0.89874       0.84575      1.06265      0.66571  43.79s
      4       0.87560       0.81482      1.07459      0.65913  43.65s
      5       0.85398       0.79128      1.07924      0.67475  43.72s
      6       0.83505       0.77951      1.07125      0.69572  43.69s
      7       0.81607       0.76515      1.06656      0.71988  43.82s
      8       0.79631       0.76283      1.04389      0.70744  43.72s
      9       0.78100       0.76157      1.02552      0.71135  43.77s
     10       0.77005       0.75945      1.01396      0.69624  43.78s
     11       0.75695       0.74026      1.02254      0.72039  43.76s
     12       0.74247       0.74708      0.99382      0.70014  43.95s
     13       0.72717       0.73361      0.99122      0.70600  43.83s
     14       0.71894       0.74116      0.97003      0.69356  43.84s
     15       0.70881       0.72842      0.97308      0.70333  43.81s
     16       0.69678       0.72735      0.95798      0.70991  43.78s
     17       0.68814       0.72490      0.94928      0.69552  43.85s
     18       0.67959       0.72005      0.94381      0.71382  43.78s
     19       0.66529       0.73684      0.90291      0.69161  43.82s
     20       0.65975       0.74100      0.89035      0.70405  43.73s
     21       0.64816       0.71960      0.90072      0.70405  44.07s
     22       0.63939       0.72169      0.88596      0.69942  43.94s
     23       0.62501       0.70869      0.88192      0.69942  43.70s
     24       0.61878       0.71913      0.86045      0.70014  43.66s
     25       0.61021       0.70903      0.86063      0.68308  43.65s
     26       0.61270       0.70931      0.86379      0.71186  43.67s
     27       0.58982       0.71498      0.82495      0.70158  44.01s
     28       0.57627       0.71804      0.80256      0.70744  44.41s
     29       0.56797       0.69680      0.81511      0.70405  44.09s
     30       0.56106       0.71644      0.78313      0.69428  44.02s
     31       0.55324       0.71596      0.77273      0.69356  44.13s
     32       0.54648       0.72327      0.75557      0.71135  43.97s
     33       0.54617       0.72711      0.75116      0.68894  44.18s
     34       0.51716       0.74785      0.69153      0.70014  44.17s
     35       0.51194       0.76408      0.67001      0.69696  44.02s
     36       0.48669       0.77548      0.62760      0.70744  43.97s
     37       0.47850       0.76042      0.62925      0.69428  44.07s
     38       0.53852       0.73624      0.73145      0.69819  44.13s
     39       0.49197       0.75059      0.65545      0.69942  44.03s
     40       0.46811       0.75078      0.62351      0.69870  43.98s
     41       0.43099       0.83415      0.51668      0.67136  44.03s
     42       0.41860       0.79898      0.52392      0.68894  44.20s
     43       0.40199       0.83568      0.48103      0.67722  44.14s
     44       0.39412       0.82111      0.47999      0.66674  44.11s
     45       0.51855       0.77378      0.67015      0.64525  44.03s
     46       0.43464       0.76520      0.56801      0.69089  44.12s
     47       0.37516       0.82615      0.45411      0.68041  44.03s
     48       0.35777       0.84118      0.42533      0.67064  44.52s
     49       0.32647       0.85424      0.38218      0.68308  44.37s
     50       0.31275       0.91560      0.34158      0.66869  44.13s
     51       0.32101       0.91296      0.35161      0.66941  44.10s
     52       0.29217       0.95565      0.30573      0.67136  44.07s
     53       0.27894       0.96508      0.28903      0.66941  44.12s
     54       0.26094       1.01504      0.25707      0.66622  44.22s
     55       0.26570       1.00416      0.26459      0.68452  44.25s
     56       0.23271       0.99602      0.23364      0.68647  44.44s
     57       0.22432       1.12612      0.19919      0.69161  44.38s
     58       0.21207       1.08053      0.19627      0.69233  44.20s
     59       0.20978       1.09715      0.19120      0.69891  44.25s
     60       0.18819       1.17523      0.16013      0.66283  44.40s
     61       0.78206       0.74700      1.04692      0.68647  44.24s
     62       0.55508       0.74564      0.74444      0.66211  44.04s
     63       0.45676       0.73875      0.61828      0.70282  44.07s
     64       0.35796       0.81045      0.44168      0.71063  44.09s
     65       0.28369       0.92737      0.30590      0.69110  44.07s
     66       0.25510       0.99060      0.25752      0.70354  44.08s
     67       0.21215       1.13229      0.18736      0.69161  44.09s
     68       0.23663       1.04260      0.22696      0.70086  44.12s
     69       0.18141       1.08882      0.16662      0.67845  44.12s
     70       0.18001       1.09944      0.16373      0.69819  44.10s
     71       0.16412       1.23288      0.13312      0.68380  44.13s
     72       0.15041       1.34620      0.11173      0.67845  44.12s
     73       0.14319       1.33568      0.10721      0.70405  44.11s
     74       0.13512       1.31917      0.10243      0.65892  44.08s
     75       0.12399       1.32974      0.09324      0.66088  44.08s
     76       0.12333       1.29495      0.09524      0.67208  44.40s
     77       0.10633       1.45577      0.07304      0.66355  44.20s
     78       0.09620       1.35624      0.07093      0.66231  44.17s
     79       0.08527       1.40874      0.06053      0.67794  44.10s
     80       0.08090       1.51472      0.05341      0.67794  44.14s
     81       0.08691       1.49430      0.05816      0.64792  44.20s
     82       0.08159       1.56020      0.05230      0.62695  44.14s
     83       0.08810       1.52397      0.05781      0.67352  44.16s
     84       0.07540       1.58045      0.04771      0.66036  44.19s
     85       0.07282       1.57763      0.04616      0.64597  44.20s
     86       0.07490       1.63351      0.04585      0.65183  44.19s
     87       0.06395       1.59565      0.04008      0.67722  44.16s
     88       0.06113       1.69861      0.03599      0.67599  44.25s
     89       0.06305       1.69679      0.03716      0.67280  44.27s
     90       0.05954       1.60826      0.03702      0.68452  44.24s
     91       0.14134       3.20118      0.04415      0.61205  44.20s
     92       0.61725       0.96147      0.64198      0.64597  44.13s
     93       0.33676       1.04542      0.32213      0.67722  44.20s
     94       0.25019       1.15851      0.21596      0.67599  44.18s
     95       0.18121       1.31122      0.13820      0.65769  44.22s
     96       0.13322       1.49795      0.08893      0.64330  44.19s
     97       0.10777       1.55734      0.06920      0.66283  44.16s
     98       0.09172       1.63553      0.05608      0.66355  44.21s
     99       0.08146       1.71362      0.04754      0.67331  44.21s
    100       0.07125       1.89206      0.03766      0.67331  44.22s
    101       0.06385       1.83992      0.03470      0.65964  44.25s
    102       0.07562       1.95294      0.03872      0.66550  44.37s
    103       0.06417       2.01645      0.03182      0.66160  44.32s
    104       0.05484       2.03093      0.02700      0.67403  44.23s
    105       0.04967       2.06653      0.02404      0.66088  44.25s
    106       0.05228       2.09298      0.02498      0.67527  44.21s
    107       0.04418       2.10175      0.02102      0.66550  44.18s
    108       0.04760       2.19388      0.02170      0.66283  44.25s
    109       0.04349       2.23450      0.01946      0.65697  44.29s
    110       0.04588       2.21775      0.02069      0.67722  44.28s
    111       0.04012       2.32678      0.01724      0.65502  44.25s
    112       0.04467       2.34068      0.01908      0.66478  44.19s
    113       0.04022       2.35450      0.01708      0.66283  44.21s
    114       0.03743       2.42107      0.01546      0.66088  44.26s
    115       0.03843       2.42247      0.01586      0.65892  44.21s
    116       0.03814       2.47836      0.01539      0.66550  44.34s
    117       0.03839       2.40016      0.01599      0.65502  44.22s
    118       0.03623       2.48707      0.01457      0.65697  44.26s
    119       0.03777       2.54060      0.01486      0.65111  44.53s
    120       0.03973       2.49594      0.01592      0.66160  44.45s
    121       0.03927       2.43056      0.01615      0.66160  44.22s
